filename	sentence	grader	scores	scores_tones	scores_inserts	speaker	l1	other_languages	semesters_study	pre_uni_years	gender	age	residency	birthplace
1-20-001.wav	Ngiyakukholwa.	104	1111111111	[]	[]	1	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
1-20-002.wav	Ngiyakukholwa.	101	1111011111	[]	[]	2	English	Afrikaans;isiZulu	3	5	F	19	Durban, South Africa	Pietermaritzburg, South Africa
1-20-002.wav	Ngiyakukholwa.	104	1111011111	[]	[]	2	English	Afrikaans;isiZulu	3	5	F	19	Durban, South Africa	Pietermaritzburg, South Africa
1-20-003.wav	Ngiyakukholwa.	101	1111011111	[]	[]	3	English	Afrikaans;isiZulu	3	1	F	20	Durban, South Africa	Durban, South Africa
1-20-003.wav	Ngiyakukholwa.	104	1111011111	[]	[]	3	English	Afrikaans;isiZulu	3	1	F	20	Durban, South Africa	Durban, South Africa
1-20-004.wav	Ngiyakukholwa.	101	1111111111	[]	[]	4	siswati	English; isizulu	1	0	F	18	Durban, South Africa	Mpumalanga, South Africa
1-20-004.wav	Ngiyakukholwa.	104	1111111111	[]	[]	4	siswati	English; isizulu	1	0	F	18	Durban, South Africa	Mpumalanga, South Africa
1-20-005.wav	Ngiyakukholwa.	101	1111111111	[]	[]	5	siswati	English; isizulu	1	0	F	19	Durban, South Africa	Mpumalanga, South Africa
1-20-005.wav	Ngiyakukholwa.	104	1111111111	[]	[]	5	siswati	English; isizulu	1	0	F	19	Durban, South Africa	Mpumalanga, South Africa
1-20-006.wav	Ngiyakukholwa.	101	1111111111	[]	[]	6	Xhosa	English	1	0	M	21	Durban, South Africa	Eastern Cape, South Africa
1-20-006.wav	Ngiyakukholwa.	104	1111111111	[]	[]	6	Xhosa	English	1	0	M	21	Durban, South Africa	Eastern Cape, South Africa
1-20-007.wav	Ngiyakukholwa.	104	1111111111	"[""3"", ""4""]"	[]	7	Xhosa	English;isiZulu	1	0	M	21	Durban, South Africa	Eastern Cape, South Africa
1-20-008.wav	Ngiyakukholwa.	101	1111011001	[]	[]	8	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
1-20-008.wav	Ngiyakukholwa.	102	1111000011	"[""2"", ""3""]"	[]	8	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
1-20-008.wav	Ngiyakukholwa.	104	1111010101	[]	"[""0""]"	8	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
1-20-009.wav	Ngiyakukholwa.	102	1111000011	"[""2"", ""3""]"	"[""4"", ""5"", ""6"", ""7""]"	9	English	Afrikaans;isiZulu	1	0	F	18	Durban, South Africa	Durban, South Africa
1-20-009.wav	Ngiyakukholwa.	104	1111001011	"[""2"", ""3"", ""4""]"	[]	9	English	Afrikaans;isiZulu	1	0	F	18	Durban, South Africa	Durban, South Africa
1-20-010.wav	Ngiyakukholwa.	104	1111011111	[]	[]	10	English	Afrikaans;isiZulu;siXhosa	1	0	M	19	Durban, South Africa	Riyadh, Saudi Arabia
1-20-011.wav	Ngiyakukholwa.	104	1111011111	"[""0"", ""1"", ""2"", ""3"", ""4""]"	[]	11	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
1-20-012.wav	Ngiyakukholwa.	104	1111011011	"[""2"", ""3"", ""4""]"	"[""0""]"	12	English	Afrikaans;isiZulu	3	2	M	19	Durban, South Africa	Durban, South Africa
10-14-001.wav	Abantu bafike nini?	101	111101111110111111	[]	[]	1	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
10-14-001.wav	Abantu bafike nini?	104	101101111111111111	[]	[]	1	English	Afrikaans;isiZulu	3	0	F	19	Durban, South Africa	Durban, South Africa
10-14-002.wav	Abantu bafike nini?	101	111111111111111111	"[""1""]"	[]	2	English	Afrikaans;isiZulu	3	5	F	19	Durban, South Africa	Pietermaritzburg, South Africa
